이름,ZZZ 에이전트,대분류,소분류,피해유형,부가효과,소모 자원,리액션 태그,전용 버프,시너지
핵심 패시브: 자이로 파워,앤톤,핵심스킬,핵심 패시브,-,피해증가,,,드릴 공격,스파이크 공격
추가 능력: 협동 작전,앤톤,핵심스킬,추가 능력,-,치명타확률증가,,,, "속성시너지-전기, 진영시너지"
일반 공격: 일살,청의,일반공격,일반공격-탭,"물리 피해, 전기 피해",,,,섬락전압
일반 공격: 취화월운전,청의,일반공격,일반공격-특수,전기 피해,"정복 부여, 무적판정",섬락전압,,정복,섬락전압
회피: 기러기가 남긴 소리,청의,회피스킬,회피,-,무적판정,,,,
대시 공격: 입파,청의,회피스킬,대시공격,물리 피해,,,,,
회피 반격: 다하지 못한 뜻,청의,회피스킬,회피 반격,전기 피해,무적판정,,,,
강화 특수 스킬: 달에 걸린 해당화,청의,특수스킬,강화특수스킬-탭,전기 피해,무적판정,에너지,,,
콤보 스킬: 태평령,청의,콤보공격,콤보 스킬,전기 피해,"무적판정, 정복 비례 피해증가",,,,정복
궁극기: 팔환의 조화,청의,콤보공격,궁극기,전기 피해,무적판정,데시벨,,,
핵심 패시브: 천추의 세월,청의,핵심스킬,핵심 패시브,-,그로기약체화배율증가,,,정복,
추가 능력: 양관삼첩,청의,핵심스킬,추가 능력,-,"그로기수치증가, 공격력증가",,,,, "속성시너지-전기, 진영시너지"
일반 공격: 억제 격파,세스,일반공격,일반공격-탭,물리 피해,,,,
일반 공격: 뇌정 참격-감전,세스,일반공격,일반공격-특수,전기 피해,실드 전이,,,빠른 지원,굳건한 방패
회피: 장애물 회피,세스,회피스킬,회피,-,무적판정,,,,
대시 공격: 전광 기습,세스,회피스킬,대시공격,물리 피해,피해감소,,,,
회피 반격: 전진을 위한 후퇴,세스,회피스킬,회피 반격,전기 피해,무적판정,,,,
패링 지원: 치안 판결,세스,지원스킬,패링 지원,전기 피해,무적판정,,,빠른 지원,
강화 특수 스킬: 전광 방패 돌격-고압,세스,특수스킬,강화특수스킬-탭,전기 피해,무적판정,에너지,기합,굳건한 방패,
콤보 스킬: 최종 제재,세스,콤보공격,콤보 스킬,전기 피해,무적판정,,기합,,
궁극기: 정의는 반드시 승리한다,세스,콤보공격,궁극기,전기 피해,무적판정,데시벨,기합,,
핵심 패시브: 수호자,세스,핵심스킬,핵심 패시브,-,이상마스터리증가,,,굳건한 방패,
추가 능력: 왕성한 기합,세스,핵심스킬,추가 능력,-,속성축적저항감소,,,,, "속성시너지-전기, 진영시너지"
무념무상,하루마사,일반공격,일반공격-탭,"물리 피해, 전기 피해",,,,전기 큐브,
찰나,하루마사,회피스킬,회피,-,무적판정,,,,
비상하는 활시위,하루마사,회피스킬,대시공격,물리 피해,,,,,
은신한 여우,하루마사,회피스킬,회피 반격,전기 속성 피해,"무적판정, 높은그로기배율",,,,
동전 뒤집기,하루마사,지원스킬,빠른 지원,-,무적판정,,,,
소용돌이 날개,하루마사,지원스킬,패링 지원,-,"무적판정, 패링",,,,
일진광풍,하루마사,지원스킬,지원 돌격,전기 피해,무적판정,,,,
천라,하루마사,특수스킬,특수스킬-탭,전기 피해,경직저항증가,,,,
천지개벽,하루마사,특수스킬,강화특수스킬-탭,전기 피해,무적판정,에너지,,,
만남·이별,하루마사,콤보공격,콤보 스킬,전기 피해,무적판정,,,전기 큐브,
삼라만상,하루마사,콤보공격,궁극기,전기 피해,무적판정,데시벨,,전기 큐브,
여명,하루마사,핵심스킬,핵심 패시브,-,치명타확률증가,,,예기,심안
오버클럭,하루마사,핵심스킬,추가 능력,-,피해증가,,,전기 감옥,"속성시너지-전기, 진영시너지"
달의 신에게 바치는 가무,야나기,일반공격,일반공격-탭,"물리 피해, 전기 피해",,,,상현달,
흐르는 안개,야나기,회피스킬,회피,-,무적판정,,,,
우아한 참격,야나기,지원스킬,빠른 지원,전기 피해,무적판정,,,,
달빛 반격,야나기,지원스킬,패링 지원,-,"무적판정, 패링",,,,
흩날리는 칼,야나기,지원스킬,지원 돌격,전기 피해,무적판정,,,하현달,
변천,야나기,특수스킬,특수스킬-탭,전기 피해,,,,,
달빛의 변천,야나기,특수스킬,강화특수스킬-탭,전기 피해,"무적판정, 극성 혼돈",에너지,,삼라만상,
별과 달과 함께,야나기,콤보공격,콤보 스킬,전기 피해,무적판정,,,,
번쩍이는 번개의 그림자,야나기,콤보공격,궁극기,전기 피해,"무적판정, 극성 혼돈",데시벨,,,
월식,야나기,핵심스킬,핵심 패시브,-,전기 속성 피해증가,,,월식,
달의 위상,야나기,핵심스킬,추가 능력,-,속성이상축적효율증가,,,, "속성시너지-전기, 진영시너지"
꿰뚫는 전격,0호·엔비,일반공격,일반공격-탭,물리 피해,,,,별빛 천둥,
섬전,0호·엔비,회피스킬,회피,전기 피해,무적판정,,,,
운간 방전,0호·엔비,지원스킬,빠른 지원,전기 피해,무적판정,,,,
역극성 반격,0호·엔비,지원스킬,패링 지원,-,"무적판정, 패링",,,,
벽력 돌진,0호·엔비,지원스킬,지원 돌격,전기 피해,무적판정,,,,
별빛 천둥,0호·엔비,특수스킬,특수스킬-탭,전기 피해,,,,,
하늘을 가르는 번개,0호·엔비,특수스킬,강화특수스킬-탭,전기 피해,무적판정,에너지,,,
치닫는 낙뢰,0호·엔비,콤보공격,콤보 스킬,전기 피해,무적판정,,,,
창공을 베는 전광,0호·엔비,콤보공격,궁극기,전기 피해,무적판정,데시벨,,뇌명,
전위차,0호·엔비,핵심스킬,핵심 패시브,-,피해증가,,,은빛 별,여진 공격
유전분극,0호·엔비,핵심스킬,추가 능력,-,치명타확률증가,,,백뢰,"속성시너지-전기, 진영시너지"
콜드 보어·사격,트리거,일반공격,일반공격-탭,"물리 피해, 전기 피해",,,,저격 자세,
소리 없는 저격,트리거,일반공격,일반공격-홀드,전기 피해,,결의,,,
저격의 협주,트리거,일반공격,일반공격-패시브,전기 피해,여진 공격,결의,,,
콜드 보어·도주,트리거,회피스킬,회피,-,무적판정,,,,
콜드 보어·반발,트리거,회피스킬,회피 반격,전기 피해,무적판정,,,,
콜드 보어·구원,트리거,지원스킬,빠른 지원,전기 피해,무적판정,,,,
콜드 보어·경계,트리거,지원스킬,패링 지원,-,"무적판정, 패링",,,,
콜드 보어·가속,트리거,지원스킬,지원 돌격,전기 피해,무적판정,,,,
콜드 보어·섬광,트리거,특수스킬,특수스킬-탭,전기 피해,,,,,
콜드 보어·꽃의 장례,트리거,특수스킬,강화특수스킬-탭,전기 피해,무적판정,에너지,,결의,
스틱스의 인도,트리거,콤보공격,콤보 스킬,전기 피해,무적판정,,,결의,
저승의 만가,트리거,콤보공격,궁극기,전기 피해,무적판정,데시벨,,결의,
허를 찌르는 눈동자,트리거,핵심스킬,핵심 패시브,-,그로기수치증가,,,여진 공격,
은빛 등과 영안,트리거,핵심스킬,추가 능력,-,피해증가,,,, "속성시너지-전기, 진영시너지"
국화꽃의 윤무,시드,일반공격,일반공격-탭,"물리 피해, 전기 피해",,,,강철 에너지,
낙화·도륙,시드,일반공격,일반공격-홀드,전기 피해,,강철 에너지,,,
낙화·붕괴,시드,일반공격,일반공격-패시브,전기 피해,,,,,
꽃입 위를 노닐다,시드,회피스킬,회피,-,무적판정,,,,
겨울 국화의 차가운 향기,시드,회피스킬,회피 반격,전기 피해,무적판정,,,,
한겨울의 위로,시드,지원스킬,빠른 지원,전기 피해,무적판정,,,,
휘날리는 소매,시드,지원스킬,패링 지원,-,"무적판정, 패링",,,,
눈 속의 붉은 매화,시드,지원스킬,지원 돌격,전기 피해,무적판정,,,,
흩날리는 꽃잎,시드,특수스킬,특수스킬-탭,전기 피해,,,,,
강철 꽃잎과 비의 장막,시드,특수스킬,강화특수스킬-탭,전기 피해,무적판정,에너지,,,
만개한 들국화,시드,콤보공격,콤보 스킬,전기 피해,무적판정,,,,
세상에 피어난 악의 꽃,시드,콤보공격,궁극기,전기 피해,무적판정,데시벨,,강철 에너지,
피어나는 본성,시드,핵심스킬,핵심 패시브,-,공격력증가,,,강습,정공,포위
전장 지배,시드,핵심스킬,추가 능력,-,피해증가,,,, "속성시너지-전기, 진영시너지"
교활한 토끼 연타,니콜 데마라,일반공격,일반공격-탭,물리 피해,,,,,
내 맘대로,니콜 데마라,일반공격,일반공격-특수,에테르 피해,높은그로기배율,,,장전,
달아나는 토끼,니콜 데마라,회피스킬,회피,-,무적판정,,,,
견제 포격,니콜 데마라,회피스킬,회피 반격,에테르 피해,무적판정,,,,
응급 포격,니콜 데마라,지원스킬,빠른 지원,에테르 피해,에너지장,,,,
교활한 토끼 출동!,니콜 데마라,지원스킬,패링 지원,-,"무적판정, 패링",,,,
기회다,니콜 데마라,지원스킬,지원 돌격,에테르 피해,무적판정,,,,
사탕발림 포탄,니콜 데마라,특수스킬,특수스킬-탭,에테르 피해,,,,,
빵빵한 사탕발림 포탄,니콜 데마라,특수스킬,강화특수스킬-탭,에테르 피해,"무적판정, 에너지장",에너지,,,
고가 에테르 폭탄,니콜 데마라,콤보공격,콤보 스킬,에테르 피해,"무적판정, 에너지장",,,,
특제 에테르 폭탄,니콜 데마라,콤보공격,궁극기,에테르 피해,"무적판정, 에너지장",데시벨,,,
정밀 조율,니콜 데마라,핵심스킬,핵심 패시브,-,방어력무시,,,에너지장,
토끼굴의 수장,니콜 데마라,핵심스킬,추가 능력,-,지속시간연장,,,, "속성시너지-에테르, 진영시너지"
꼼짝 마!(돌격),주연,일반공격,일반공격-탭,물리 피해,,,,강화 산탄,
꼼짝 마!(제압),주연,일반공격,일반공격-홀드,에테르 피해,,강화 산탄,,,
우회,주연,회피스킬,회피,-,무적판정,,,,
전략적 억제,주연,회피스킬,회피 반격,에테르 피해,무적판정,,,,
엄호 사격,주연,지원스킬,빠른 지원,에테르 피해,,,,
경계 지원,주연,지원스킬,패링 지원,-,"무적판정, 패링",,,,
보복 사격,주연,지원스킬,지원 돌격,에테르 피해,무적판정,,,강화 산탄,
징벌탄,주연,특수스킬,특수스킬-탭,물리 피해,,,,강화 산탄,
저발 고수압탄,주연,특수스킬,강화특수스킬-탭,에테르 피해,무적판정,에너지,,강화 산탄,
특수 작전: 소탕 방식,주연,콤보공격,콤보 스킬,에테르 피해,무적판정,,,강화 산탄,
특수 작전: 전멸 공습,주연,콤보공격,궁극기,에테르 피해,무적판정,데시벨,,강화 산탄,
정교한 탄약,주연,핵심스킬,핵심 패시브,-,피해증가,,,강화 산탄,제압 모드
현장 연계,주연,핵심스킬,추가 능력,-,치명타확률증가,,,, "속성시너지-에테르, 진영시너지"
<카프리치오>,아스트라,일반공격,일반공격-탭,에테르 피해,,,,,
<트레몰로>,아스트라,일반공격,일반공격-홀드,에테르 피해,,트레몰로,,,
피날레,아스트라,일반공격,일반공격-특수,에테르 피해,피해량버프,,톤 클러스터,아이들릭 카덴차,
<미니 왈츠>,아스트라,회피스킬,회피,-,무적판정,,,,
<엄브렐라 왈츠>,아스트라,회피스킬,회피 반격,에테르 피해,무적판정,,,,
<하늘을 수놓은 불꽃>,아스트라,지원스킬,빠른 지원,에테르 피해,,,,
<두 사람의 마음>,아스트라,지원스킬,패링 지원,-,"무적판정, 패링",,,,
<삼생을 거친 첫 만남>,아스트라,지원스킬,지원 돌격,에테르 피해,무적판정,,,,
<풍령과 오랜 약속>,아스트라,특수스킬,특수스킬-탭,에테르 피해,,,,,
<아이들릭 카덴차>,아스트라,특수스킬,강화특수스킬-탭,에테르 피해,무적판정,에너지,,아이들릭 카덴차,
<취중 협주곡>,아스트라,콤보공격,콤보 스킬,에테르 피해,무적판정,,,,
<환상 소나타〉,아스트라,콤보공격,궁극기,에테르 피해,무적판정,데시벨,,아이들릭 카덴차,
<안단테 칸타빌레〉,아스트라,핵심스킬,핵심 패시브,-,치명타피해증가,,,피날레,
<달빛 아래 난무〉,아스트라,핵심스킬,추가 능력,-,피해증가,,,, "속성시너지-에테르, 진영시너지"
깃털의 쓸림,비비안,일반공격,일반공격-탭,"물리 피해, 에테르 피해",,,,비상의 깃,
숙녀의 예법·스텝,비비안,일반공격,일반공격-홀드,에테르 피해,무적판정,,,비상의 깃,
떠오르는 치맛자락·낙하,비비안,일반공격,일반공격-특수,에테르 피해,무적판정,,수호의 깃,수호의 깃,
흩날리는 깃과 꽃,비비안,일반공격,일반공격-패시브,에테르 피해,,,수호의 깃,수호의 깃,
유광,비비안,회피스킬,회피,-,무적판정,,,,
은색 가시의 무곡,비비안,회피스킬,대시공격,물리 피해,,,,,
깃날의 반동,비비안,회피스킬,회피 반격,물리 피해,무적판정,,,비상의 깃,
숙녀의 슬라이딩 스텝,비비안,회피스킬,회피-특수,-,무적판정,,,,
늠름한 깃털의 수호,비비안,지원스킬,빠른 지원,"물리 피해, 에테르 피해",무적판정,,,비상의 깃,
은빛 양산 대열,비비안,지원스킬,패링 지원,-,"무적판정, 패링",,,,
심판의 깃날,비비안,지원스킬,지원 돌격,에테르 피해,,,,,
은색 깃털의 노래,비비안,특수스킬,특수스킬-탭,"물리 피해, 에테르 피해",,,,,
제비꽃의 애도,비비안,특수스킬,강화특수스킬-탭,에테르 피해,무적판정,에너지,,비상의 깃,
별과 깃털의 화음,비비안,콤보공격,콤보 스킬,에테르 피해,무적판정,,,,
비조의 송가,비비안,콤보공격,궁극기,에테르 피해,무적판정,데시벨,,비상의 깃,
운명의 비가,비비안,핵심스킬,핵심 패시브,-,속성이상피해증가,,,난개,비비안의 예언
예언의 눈물,비비안,핵심스킬,추가 능력,-,피해증가,,,, "속성시너지-에테르, 진영시너지"
운소의 형태,의현,일반공격,일반공격-탭,에테르 피해,경직저항증가,,,,
드리우는 먹빛 구름,의현,일반공격,일반공격-홀드,에테르 피해,경직저항증가,,,,
현묵진법,의현,일반공격,특수연계,에테르 피해,"무적판정, 기운회복",현묵,,현묵,
청명의 뇌동,의현,회피스킬,대시공격,에테르 피해,,,,,
은무 은신법,의현,회피스킬,회피,-,무적판정,,,,
맑은 하늘과의 동행,의현,회피스킬,극한 회피,-,무적판정,,,,
가랑비의 흔적,의현,회피스킬,회피 반격,에테르 피해,무적판정,,,,
하늘을 찌르는 기세,의현,회피스킬,대시공격,에테르 피해,,,,,
유운의 그림자,의현,지원스킬,빠른 지원,에테르 피해,무적판정,,,,
청천의 경지,의현,지원스킬,패링 지원,-,"무적판정, 패링",,,,
천상의 공세,의현,지원스킬,지원 돌격,에테르 피해,무적판정,,,,
잿빛 그림자의 비전,의현,특수스킬,특수스킬-탭,에테르 피해,경직저항증가,,,,
먹빛 흔적의 형체,의현,특수스킬,강화특수스킬-차지,에테르 피해,"무적판정, 가드",기운,,술법,
짙은 구름의 술,의현,특수스킬,강화특수스킬,에테르 피해,무적판정,에너지,,,
먹과 함께 사라져라,의현,특수스킬,강화특수스킬-연계,에테르 피해,무적판정,에너지,,,
현묵 속공,의현,콤보공격,콤보 스킬,에테르 피해,무적판정,,,,
청명과 운영,의현,콤보공격,궁극기,에테르 피해,"무적판정, 파티 HP 균등 분배",데시벨,,,
천 겹의 부적,의현,콤보공격,궁극기-추가,에테르 피해,무적판정,술법,,현묵,
핵심 패시브: 술법의 대가,의현,핵심스킬,핵심 패시브,-,피해증가,,,현묵,술법
추가 능력: 일렁이는 현묵,의현,핵심스킬,추가 능력,-,"치명타피해증가, 기운회복",,,정신 집중,"클래스 시너지-격파, 클래스 시너지-지원, 클래스 시너지-방어"
일반 공격: 별 궤적 콤보,루시아,일반공격,일반공격-탭,에테르 피해,단상 발동 가능,,,단상,
회피: 고요한 항해,루시아,회피스킬,회피,-,무적판정,,,,
찰나의 흔적,루시아,회피스킬,회피 반격,에테르 피해,"무적판정, 단상 진입",,,,
빠른 지원: 짙은 안개 강공격,루시아,지원스킬,빠른 지원,에테르 피해,무적판정,,,,
환몽의 소리,루시아,지원스킬,패링 지원,에테르 피해,"무적판정, 적 밀치기",,,,
지원 돌격: 그림자 잔향,루시아,지원스킬,지원 돌격,에테르 피해,"무적판정, 에너지 회복",,,,
특수 공격: 찰나의 전조,루시아,특수스킬,특수스킬-탭,에테르 피해,,,,,
강화 특수 공격: 환영의 무도,루시아,특수스킬,강화특수스킬-탭,에테르 피해,"무적판정, 꿈세계 진입",에너지,,꿈세계,
연계기: 영원한 안식,루시아,콤보공격,콤보 스킬,에테르 피해,"무적판정, 꿈세계 게이지 회복",,,꿈세계 게이지,
궁극기: 종언의 자장가,루시아,콤보공격,궁극기,에테르 피해,"무적판정, 에테르 피해량 증가",데시벨,,,
핵심 패시브: 꿈의 선율,루시아,핵심스킬,핵심 패시브,-,"에테르 피해 증가, 관통력 증가",,,꿈세계,에테르 침식
추가 능력: (불명),루시아,핵심스킬,추가 능력,-,,,,,"클래스 시너지-명파, 클래스 시너지-격파"
일반 공격: 절대 음감,아리아,일반공격,일반공격-탭,에테르 피해,,,,
특수 스킬: 달콤한 일렉트로니카,아리아,특수스킬,특수스킬-탭,에테르 피해,변주 버전,,,,
강화 특수 스킬: 망상에 빠지다,아리아,특수스킬,강화특수스킬-탭,에테르 피해,무적판정,에너지,,,
강화 특수 스킬: 빛의 속도로 입덕,아리아,특수스킬,강화특수스킬-파생,에테르 피해,무적판정,에너지,,,
연계 스킬: 꿈의 콜라보,아리아,콤보공격,콤보 스킬,에테르 피해,"무적판정, 합동 모션",,,합동 모션,AOD 진영
궁극기: 에너지 100%,아리아,콤보공격,궁극기,에테르 피해,"무적판정, 진 스탠스 진입",데시벨,,진 스탠스,
강화 일반 공격 (진 스탠스),아리아,일반공격,일반공격-특수,에테르 피해,본모습 전용 모션,스택,,진 스탠스,
핵심 패시브: 무대를 뒤집는 핵심,아리아,핵심스킬,핵심 패시브,-,에테르 피해 증가,,,진 스탠스,
추가 능력: 우리의 무대,아리아,핵심스킬,추가 능력,-,"에테르 피해 증가, 이상 축적 효율 증가",,,, "속성시너지-에테르, 진영시너지"
일반 공격: 유성 스텝,남궁우,일반공격,일반공격-탭,에테르 피해,,,,
회피: 타고난 댄서,남궁우,회피스킬,회피,-,무적판정,,,,
대시 공격: 회전하는 유성,남궁우,회피스킬,회피-공격,에테르 피해,,,,
회피 반격: 유성 왈츠,남궁우,회피스킬,회피-반격,에테르 피해,무적판정,,,,
특수 공격: 반짝이는 리듬,남궁우,특수스킬,특수스킬-탭,에테르 피해,,,,
강화 특수 공격: 소원을 빌어봐,남궁우,특수스킬,강화특수스킬-탭,에테르 피해,"무적판정, 그로기 수치 대량 누적",에너지,,,,
강화 특수 공격: 상당히 무거운 애정,남궁우,특수스킬,강화특수스킬-파생,에테르 피해,"무적판정, 중력 메커니즘",에너지,,,중력,
연계 공격: 환상의 무대,남궁우,콤보공격,콤보 스킬,에테르 피해,무적판정,,,,
연계 공격: 혜성 인력,남궁우,콤보공격,콤보 스킬-파생,에테르 피해,무적판정,중력,,,혜성 인력,
궁극기: 유성우의 전설,남궁우,콤보공격,궁극기,에테르 피해,무적판정,데시벨,,,유성우,
패링 지원: 완벽한 춤,남궁우,지원스킬,패링 지원,에테르 피해,"패링, 지원 포인트 소모 감소",,,지원 포인트,
